name,total,Year,Month
Comprehensive Brooklyn Bridge Counter,16140,2019,12
Comprehensive Brooklyn Bridge Counter,23901,2020,01
Comprehensive Brooklyn Bridge Counter,21331,2020,02
Comprehensive Brooklyn Bridge Counter,31730,2020,03
Comprehensive Brooklyn Bridge Counter,26809,2020,04
Comprehensive Brooklyn Bridge Counter,57215,2020,05
Comprehensive Brooklyn Bridge Counter,66548,2020,06
Comprehensive Brooklyn Bridge Counter,60221,2020,07
Comprehensive Brooklyn Bridge Counter,65570,2020,08
Comprehensive Brooklyn Bridge Counter,70749,2020,09
Comprehensive Brooklyn Bridge Counter,58944,2020,10
Comprehensive Brooklyn Bridge Counter,44208,2020,11
Comprehensive Brooklyn Bridge Counter,23450,2020,12
Comprehensive Brooklyn Bridge Counter,23654,2021,01
Comprehensive Brooklyn Bridge Counter,10897,2021,02
Comprehensive Brooklyn Bridge Counter,34698,2021,03
Comprehensive Brooklyn Bridge Counter,46198,2021,04
Comprehensive Brooklyn Bridge Counter,62302,2021,05
Comprehensive Brooklyn Bridge Counter,67370,2021,06
Comprehensive Brooklyn Bridge Counter,59012,2021,07
Comprehensive Brooklyn Bridge Counter,59274,2021,08
Comprehensive Brooklyn Bridge Counter,98264,2021,09
Comprehensive Brooklyn Bridge Counter,113609,2021,10
Comprehensive Brooklyn Bridge Counter,75343,2021,11
Comprehensive Brooklyn Bridge Counter,46737,2021,12
Comprehensive Brooklyn Bridge Counter,16881,2022,01
Comprehensive Brooklyn Bridge Counter,38181,2022,02
Comprehensive Brooklyn Bridge Counter,61073,2022,03
Comprehensive Brooklyn Bridge Counter,83581,2022,04
Comprehensive Brooklyn Bridge Counter,109151,2022,05
Comprehensive Brooklyn Bridge Counter,122683,2022,06
Comprehensive Brooklyn Bridge Counter,121886,2022,07
Comprehensive Brooklyn Bridge Counter,129608,2022,08
Comprehensive Brooklyn Bridge Counter,108968,2022,09
Comprehensive Brooklyn Bridge Counter,92516,2022,10
Comprehensive Brooklyn Bridge Counter,74868,2022,11
Comprehensive Brooklyn Bridge Counter,42776,2022,12
Comprehensive Brooklyn Bridge Counter,51699,2023,01
Comprehensive Brooklyn Bridge Counter,50865,2023,02
Comprehensive Brooklyn Bridge Counter,67738,2023,03
Comprehensive Brooklyn Bridge Counter,100535,2023,04
Comprehensive Brooklyn Bridge Counter,136538,2023,05
Comprehensive Brooklyn Bridge Counter,121433,2023,06
Comprehensive Brooklyn Bridge Counter,126213,2023,07
Comprehensive Brooklyn Bridge Counter,148286,2023,08
Comprehensive Brooklyn Bridge Counter,103481,2023,09
Comprehensive Brooklyn Bridge Counter,130199,2023,10
Comprehensive Brooklyn Bridge Counter,88930,2023,11
Comprehensive Brooklyn Bridge Counter,63569,2023,12
Comprehensive Brooklyn Bridge Counter,49856,2024,01
Comprehensive Brooklyn Bridge Counter,59196,2024,02
Comprehensive Brooklyn Bridge Counter,82392,2024,03
Comprehensive Brooklyn Bridge Counter,106961,2024,04
Comprehensive Brooklyn Bridge Counter,147577,2024,05
Comprehensive Brooklyn Bridge Counter,158158,2024,06
Comprehensive Brooklyn Bridge Counter,154386,2024,07
Comprehensive Brooklyn Bridge Counter,160659,2024,08
Comprehensive Brooklyn Bridge Counter,164031,2024,09
Fountain Ave,341,2022,08
Fountain Ave,724,2022,09
Fountain Ave,464,2022,10
Fountain Ave,192,2022,11
Fountain Ave,112,2022,12
Fountain Ave,199,2023,01
Fountain Ave,186,2023,02
Fountain Ave,247,2023,03
Fountain Ave,529,2023,04
Fountain Ave,966,2023,05
Fountain Ave,913,2023,06
Fountain Ave,921,2023,07
Fountain Ave,931,2023,08
Fountain Ave,601,2023,09
Fountain Ave,419,2023,10
Fountain Ave,279,2023,11
Fountain Ave,184,2023,12
Fountain Ave,130,2024,01
Fountain Ave,145,2024,02
Fountain Ave,373,2024,03
Fountain Ave,564,2024,04
Fountain Ave,887,2024,05
Fountain Ave,1274,2024,06
Fountain Ave,1171,2024,07
Fountain Ave,1125,2024,08
Fountain Ave,902,2024,09
Willis Ave Bikes,39610,2022,12
Willis Ave Bikes,48021,2023,01
Willis Ave Bikes,45602,2023,02
Willis Ave Bikes,55906,2023,03
Willis Ave Bikes,62344,2023,04
Willis Ave Bikes,71882,2023,05
Willis Ave Bikes,69209,2023,06
Willis Ave Bikes,71328,2023,07
Willis Ave Bikes,78094,2023,08
Willis Ave Bikes,71099,2023,09
Willis Ave Bikes,76078,2023,10
Willis Ave Bikes,61637,2023,11
Willis Ave Bikes,55483,2023,12
Willis Ave Bikes,54268,2024,01
Willis Ave Bikes,53259,2024,02
Willis Ave Bikes,60601,2024,03
Willis Ave Bikes,65026,2024,04
Willis Ave Bikes,77432,2024,05
Willis Ave Bikes,80520,2024,06
Willis Ave Bikes,86220,2024,07
Willis Ave Bikes,85665,2024,08
Willis Ave Bikes,88503,2024,09
Pelham Pkwy,3451,2023,11
Pelham Pkwy,2890,2023,12
Pelham Pkwy,2234,2024,01
Pelham Pkwy,2638,2024,02
Pelham Pkwy,3823,2024,03
Pelham Pkwy,5203,2024,04
Pelham Pkwy,7199,2024,05
Pelham Pkwy,8786,2024,06
Pelham Pkwy,8428,2024,07
Pelham Pkwy,7152,2024,08
Pelham Pkwy,6245,2024,09
Ocean Pkwy at Avenue J,22582,2023,09
Ocean Pkwy at Avenue J,26277,2023,10
Ocean Pkwy at Avenue J,21774,2023,11
Ocean Pkwy at Avenue J,17442,2023,12
Ocean Pkwy at Avenue J,13814,2024,01
Ocean Pkwy at Avenue J,15156,2024,02
Ocean Pkwy at Avenue J,19147,2024,03
Ocean Pkwy at Avenue J,21064,2024,04
Ocean Pkwy at Avenue J,29598,2024,05
Ocean Pkwy at Avenue J,34339,2024,06
Ocean Pkwy at Avenue J,31579,2024,07
Ocean Pkwy at Avenue J,28623,2024,08
Ocean Pkwy at Avenue J,31093,2024,09
